University,supervisor,title,Duration
Berklee College of Music,['Erin Barra'],Introduction to Ableton Live,3 weeks long
University of Florida,"['Pedro A Malavet, LL.M.', 'Loren Turner, J.D.', 'Sharon E. Rush, J.D.', 'Jeffrey L. Harrison, J.D., Ph.D., M.B.A.', 'Kenneth B. Nunn, J.D.', 'Jennifer L. Wondracek, J.D., M.L.I.S.']",The Global Student's Introduction to U.S. Law,8 weeks long
University of Houston System,"['Dr. Sara G. McNeil', 'Bernard R Robin']",Powerful Tools for Teaching and Learning: Web 2.0 Tools,5 weeks long
"Nanyang Technological University, Singapore",['Tim White'],"Beauty, Form & Function: An Exploration of Symmetry",8 weeks long
Case Western Reserve University,['Richard Boyatzis'],Inspiring Leadership through Emotional Intelligence,8 weeks long
Yale University,['Craig Wright'],Introduction to Classical Music,8 weeks long
Yale University,['Akhil Reed Amar'],America's Unwritten Constitution,6 weeks long
Duke University,"['John A. Bartlett, M.D.', 'Franklin Mosha, Ph.D.', 'Mramba Nyindo, Ph.D.']","Tropical Parasitology: Protozoans, Worms, Vectors and Human Diseases",8 weeks long
Duke University,['Guillermo Sapiro'],Image and video processing: From Mars to Hollywood with a stop at the hospital,9 weeks long
Caltech,['S. George Djorgovski'],Galaxies and Cosmology,10 weeks long
University of Illinois at Urbana-Champaign,['Dr. José J. Vázquez-Cognet'],Microeconomics Principles,15 weeks long
University of Pennsylvania,['Stephanie McCurry'],History of the Slave South,10 weeks long
Universitat Autònoma de Barcelona,"['Elena Valderrama', 'Jean-Pierre Deschamps', 'Lluis Terés']",Digital Systems - Sistemas Digitales: De las puertas lógicas al procesador,8 weeks long
University of Michigan,"['Frederick Conrad, Ph.D.', 'Frauke Kreuter, Ph.D.']",Questionnaire Design for Social Surveys,6 weeks long
University of London,['Julian Birkinshaw'],Managing the Company of the Future,5 weeks long
University of Manchester,"[""Patrick J O'Malley, D.Sc"", 'Michael W. Anderson, FRSC', 'Jonathan Agger, MRSC']",Introduction to Physical Chemistry,6 weeks long
University of Alberta,"['Philip John Currie, PhD']",Dino 101: Dinosaur Paleobiology,12 weeks long
University of Pittsburgh,"['Valerie Swigart, Ph.D. R.N.', 'Michael Gold, Ph.D.']",Clinical Terminology for International and U.S. Students,6 weeks long
Johns Hopkins University,"['Keeve Nachman, PhD, MHS', 'Robert S. Lawrence, MD']",An Introduction to the U.S. Food System: Perspectives from Public Health,6 weeks long
École Polytechnique Fédérale de Lausanne,"['Paolo Prandoni', 'Martin Vetterli']",Digital Signal Processing,10 weeks long
University of Illinois at Urbana-Champaign,"['Dr William Cope', 'Dr Mary Kalantzis']",e-Learning Ecologies,8 weeks long
University of Minnesota,"['Dr. James Fricton, DDS, MS']",Preventing Chronic Pain: A Human Systems Approach,10 weeks long
University of Rochester,['John Covach'],"The Music of the Rolling Stones, 1962-1974",7 weeks long
"University of Maryland, College Park",['Jennifer Golbeck'],Usable Security,6 weeks long
University of Illinois at Urbana-Champaign,['Wen-mei W. Hwu'],Heterogeneous Parallel Programming,9 weeks long
The Chinese University of Hong Kong,['Prof. Raymond W. Yeung'],Information Theory,18 weeks long
Berklee College of Music,['Loudon Stearns'],Introduction to Music Production,6 weeks long
